album,name,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Bird Box (Abridged) [Original Score],Outside,761583,"D (also Cdouble sharp, Edouble flat)",Major,4,0.953,0.115,0.268,0.895,0.16399999999999998,-17.609,0.0397,73.378,0.0416
Bird Box (Abridged) [Original Score],Undercurrents,243083,"F (also E♯, Gdouble flat)",Major,4,0.782,0.188,0.46799999999999997,0.925,0.0823,-9.132,0.0447,114.146,0.0367
Bird Box (Abridged) [Original Score],Looking Forwards and Backwards,540269,"A (also Gdouble sharp, Bdouble flat)",Minor,5,0.909,0.085,0.221,0.862,0.0944,-18.165,0.0361,69.381,0.0358
Bird Box (Abridged) [Original Score],What Isn't Anymore,468827,"G (also Fdouble sharp, Adouble flat)",Major,4,0.948,0.693,0.317,0.894,0.099,-13.73,0.0374,109.99,0.0764
Bird Box (Abridged) [Original Score],Sleep Deprivation,300012,"C (also B♯, Ddouble flat)",Minor,3,0.987,0.377,0.11900000000000001,0.868,0.20800000000000002,-22.713,0.0319,58.114,0.0344
Bird Box (Abridged) [Original Score],Careful What You Wish For,449833,"E (also Ddouble sharp, F♭)",Major,3,0.8909999999999999,0.213,0.40399999999999997,0.856,0.16699999999999998,-16.01,0.0404,96.45,0.0474
Bird Box (Abridged) [Original Score],A Hidden Moment,186227,"A (also Gdouble sharp, Bdouble flat)",Minor,5,0.961,0.10800000000000001,0.0572,0.8809999999999999,0.21600000000000003,-27.865,0.0425,72.009,0.0409
Bird Box (Abridged) [Original Score],And It Keeps on Coming,434319,"A♯, B♭ (also Cdouble flat)",Major,4,0.938,0.105,0.209,0.953,0.10099999999999999,-16.639,0.0385,90.714,0.0332
Bird Box (Abridged) [Original Score],Close Encounters,278131,"D (also Cdouble sharp, Edouble flat)",Major,4,0.445,0.17300000000000001,0.23600000000000002,0.894,0.0716,-12.709000000000001,0.0401,100.927,0.0461
Bird Box (Abridged) [Original Score],Last Thing Left,280888,"A (also Gdouble sharp, Bdouble flat)",Minor,3,0.981,0.165,0.00713,0.8370000000000001,0.111,-30.232,0.0457,70.6,0.11599999999999999
