,album,track_number,id,name,uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Ghosts V: Together,1,3i7wFFCv5uIXq8la0jvjNi,Letting Go While Holding On,spotify:track:3i7wFFCv5uIXq8la0jvjNi,578943,4,1,4,0.979,0.116,0.13,0.974,0.11,-20.029,0.037,79.852,0.0386,48
1,Ghosts V: Together,2,7iiu6ce9zGfbvs0yBvsZeT,Together,spotify:track:7iiu6ce9zGfbvs0yBvsZeT,603649,0,0,4,0.928,0.174,0.165,0.931,0.0944,-20.291,0.044,119.986,0.0399,48
2,Ghosts V: Together,3,12c5EH0LBo7IM9PlsL305E,Out In The Open,spotify:track:12c5EH0LBo7IM9PlsL305E,315053,9,1,4,0.944,0.127,0.408,0.901,0.0898,-13.423,0.0404,60.076,0.0349,45
3,Ghosts V: Together,4,308QTKAITroZ0BCrd6vT2v,With Faith,spotify:track:308QTKAITroZ0BCrd6vT2v,580363,8,1,4,0.971,0.473,0.277,0.957,0.117,-17.038,0.034,119.985,0.04,44
4,Ghosts V: Together,5,1ynahsJeZyOXsXv8ndSHbL,Apart,spotify:track:1ynahsJeZyOXsXv8ndSHbL,815434,10,1,4,0.877,0.117,0.228,0.912,0.0859,-18.281,0.0379,90.977,0.0291,43
5,Ghosts V: Together,6,7n0ZW3l9uDUdUKvnQPsyVV,Your Touch,spotify:track:7n0ZW3l9uDUdUKvnQPsyVV,267372,0,0,3,0.937,0.314,0.378,0.847,0.108,-15.595,0.0331,125.978,0.0907,44
6,Ghosts V: Together,7,4qobOJfBSSVkUGM2pAJBiX,Hope We Can Again,spotify:track:4qobOJfBSSVkUGM2pAJBiX,446669,10,1,4,0.486,0.149,0.308,0.894,0.083,-16.043,0.0385,137.836,0.0577,42
7,Ghosts V: Together,8,3klPNiQxeAqUZrCSQ7uvfS,Still Right Here,spotify:track:3klPNiQxeAqUZrCSQ7uvfS,610974,2,0,4,0.899,0.181,0.255,0.945,0.0949,-15.598,0.0458,123.976,0.0364,41
8,Ghosts VI: Locusts,1,6itJixbsjJKjA6kLQCEp9t,The Cursed Clock,spotify:track:6itJixbsjJKjA6kLQCEp9t,420797,7,1,4,0.947,0.395,0.157,0.961,0.166,-16.565,0.0389,64.996,0.0334,41
9,Ghosts VI: Locusts,2,6ps4n8Yjza25RbVL2c56CK,Around Every Corner,spotify:track:6ps4n8Yjza25RbVL2c56CK,652650,2,1,3,0.932,0.346,0.415,0.899,0.088,-11.9,0.0292,77.639,0.0595,39
10,Ghosts VI: Locusts,3,4jWDSwY7ksdUH1yznjQw89,The Worriment Waltz,spotify:track:4jWDSwY7ksdUH1yznjQw89,565679,0,0,3,0.974,0.11,0.219,0.902,0.129,-21.715,0.038,59.445,0.0365,38
11,Ghosts VI: Locusts,4,2B44wnYqA2kS240njbc5Wb,Run Like Hell,spotify:track:2B44wnYqA2kS240njbc5Wb,337678,9,1,4,0.891,0.559,0.57,0.899,0.28,-11.501,0.031,146.02,0.0826,41
12,Ghosts VI: Locusts,5,3h6Aq83xPv9mPPYi6Q31d0,When It Happens (Don't Mind Me),spotify:track:3h6Aq83xPv9mPPYi6Q31d0,175729,3,1,4,0.0979,0.434,0.759,0.000227,0.145,-6.879,0.0305,140.02,0.0375,38
13,Ghosts VI: Locusts,6,53asXyK9epDCiB1nShivTt,Another Crashed Car,spotify:track:53asXyK9epDCiB1nShivTt,143510,2,1,3,0.822,0.524,0.208,0.326,0.114,-26.22,0.118,137.537,0.121,39
14,Ghosts VI: Locusts,7,0utwFXyhU59unWIRnZZiwZ,Temp Fix,spotify:track:0utwFXyhU59unWIRnZZiwZ,106935,6,1,4,0.903,0.524,0.292,0.951,0.113,-16.523,0.0314,136.098,0.157,39
15,Ghosts VI: Locusts,8,2v70eVes333Y7ABEKRGbU0,Trust Fades,spotify:track:2v70eVes333Y7ABEKRGbU0,192779,0,1,4,0.972,0.478,0.133,0.897,0.109,-22.249,0.0351,127.972,0.186,38
