,album,track_number,id,name,uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Watchmen: Volume 3 (Music from the HBO Series),1,6dd7GeR26zpzKKKrmLhto7,DOOMSDAY PREPPER,spotify:track:6dd7GeR26zpzKKKrmLhto7,287037,1,1,3,0.644,0.169,0.566,0.736,0.114,-14.685,0.0416,130.388,0.0281,31
1,Watchmen: Volume 3 (Music from the HBO Series),2,2BOyiod5YGtRrvWEAPXe2k,CLOCKMAKER,spotify:track:2BOyiod5YGtRrvWEAPXe2k,229056,3,1,3,0.91,0.388,0.252,0.886,0.111,-15.51,0.034,175.959,0.0511,30
2,Watchmen: Volume 3 (Music from the HBO Series),3,3IXQrSvJz2R9ZgfQvnhSmw,A MAN WALKS INTO AN INTRINSIC FIELD,spotify:track:3IXQrSvJz2R9ZgfQvnhSmw,94455,7,0,3,0.789,0.431,0.586,2.38e-05,0.104,-9.681,0.2,83.547,0.704,25
3,Watchmen: Volume 3 (Music from the HBO Series),4,0nkJEWhPzZfRYpEnIHrvCI,SPLICE OF LIFE,spotify:track:0nkJEWhPzZfRYpEnIHrvCI,36320,9,1,3,0.928,0.625,0.238,0.951,0.0893,-18.428,0.049,114.086,0.119,27
4,Watchmen: Volume 3 (Music from the HBO Series),5,5uOAQ7Kts0Qo25NtGRDisv,NO RHYTHM,spotify:track:5uOAQ7Kts0Qo25NtGRDisv,66251,2,1,4,0.991,0.204,0.00475,0.887,0.0992,-37.49,0.032,77.818,0.0384,27
5,Watchmen: Volume 3 (Music from the HBO Series),6,3D2H2mK7TVCGzvf11DPeun,THE WAITING SKY,spotify:track:3D2H2mK7TVCGzvf11DPeun,236711,2,0,4,0.846,0.409,0.227,0.95,0.113,-19.528,0.0317,138.012,0.284,30
6,Watchmen: Volume 3 (Music from the HBO Series),7,7qlZ1Pyl9zbXF5OkWVOEbX,THE WAY IT USED TO BE,spotify:track:7qlZ1Pyl9zbXF5OkWVOEbX,221920,9,1,4,0.955,0.335,0.242,0.38,0.133,-11.221,0.0315,82.409,0.138,28
7,Watchmen: Volume 3 (Music from the HBO Series),8,6iETFAMqdXlipe8HLs0Z89,THE ELEPHANT IN THE ROOM,spotify:track:6iETFAMqdXlipe8HLs0Z89,68909,2,1,3,0.722,0.529,0.423,0.0092,0.176,-12.407,0.267,84.176,0.655,23
8,Watchmen: Volume 3 (Music from the HBO Series),9,3r8te2INtlYdznbrxAdQ4T,WORTHY OF THE BADGE,spotify:track:3r8te2INtlYdznbrxAdQ4T,125984,9,0,4,0.966,0.185,0.125,0.939,0.0813,-19.778,0.0377,63.061,0.0366,26
9,Watchmen: Volume 3 (Music from the HBO Series),10,4buMiIcaPE6fzOlBovS2UK,WHICH CAME FIRST,spotify:track:4buMiIcaPE6fzOlBovS2UK,138724,5,1,3,0.97,0.294,0.0967,0.808,0.112,-20.662,0.0514,114.221,0.0321,28
10,Watchmen: Volume 3 (Music from the HBO Series),11,2HD7X27aJ9GWie9R8ytLqK,STUPID PANTIES,spotify:track:2HD7X27aJ9GWie9R8ytLqK,225995,6,1,3,0.899,0.534,0.273,0.937,0.112,-24.554,0.0403,176.012,0.848,26
11,Watchmen: Volume 3 (Music from the HBO Series),12,3a4OytNH15N7Sszcupgjky,"A STRONGER, LOVING WORLD",spotify:track:3a4OytNH15N7Sszcupgjky,235106,0,1,5,0.763,0.556,0.429,0.924,0.694,-15.263,0.0361,113.996,0.358,27
12,Watchmen: Volume 3 (Music from the HBO Series),13,7zCj8qC5B26xH6hnz4A2Vf,NOTHING EVER ENDS,spotify:track:7zCj8qC5B26xH6hnz4A2Vf,443476,0,1,4,0.861,0.394,0.495,0.933,0.0956,-16.877,0.0499,180.027,0.0383,27
13,Watchmen: Volume 3 (Music from the HBO Series),14,4GlqxPZ24YqIneSEle3nAT,LINCOLN TUNNEL,spotify:track:4GlqxPZ24YqIneSEle3nAT,244443,2,0,5,0.951,0.202,0.0479,0.953,0.0789,-14.394,0.0368,62.567,0.0418,37
14,Watchmen: Volume 3 (Music from the HBO Series),15,0pyJV9BsFlW8o87jgHQ18f,LIFE ON MARS?,spotify:track:0pyJV9BsFlW8o87jgHQ18f,173641,10,1,3,0.959,0.155,0.23,0.941,0.0824,-14.445,0.045,155.831,0.0398,46
15,Waves (Original Score),1,76KUNPkNn0KBABLr9F1u5y,Everything Burns,spotify:track:76KUNPkNn0KBABLr9F1u5y,65604,0,1,4,0.891,0.215,0.161,0.954,0.157,-19.888,0.0423,77.091,0.0302,25
16,Waves (Original Score),2,6MrqSjsvHIk6q2rFFJEidV,Bad News,spotify:track:6MrqSjsvHIk6q2rFFJEidV,180048,0,0,4,0.421,0.446,0.187,0.953,0.0893,-22.895,0.0375,95.931,0.059,21
17,Waves (Original Score),3,4K92YxvzHMOmxXbPCdABHG,I’m Disappearing,spotify:track:4K92YxvzHMOmxXbPCdABHG,304986,6,1,3,0.931,0.14,0.0666,0.839,0.0974,-34.628,0.036,84.008,0.076,21
18,Waves (Original Score),4,0nPzfjpAccZTinXtSPwLtD,Odds Against,spotify:track:0nPzfjpAccZTinXtSPwLtD,315857,1,1,3,0.736,0.0618,0.122,0.85,0.0616,-21.457,0.0422,68.867,0.0314,20
19,Waves (Original Score),5,2gPlclofqu5Q3A6KXN4EIh,Holding It Together,spotify:track:2gPlclofqu5Q3A6KXN4EIh,156627,10,1,4,0.844,0.156,0.214,0.93,0.107,-18.856,0.0361,133.578,0.0396,19
